loss,precision,recall,auc,val_loss,val_precision,val_recall,val_auc
0.5565709471702576,0.28007519245147705,0.20013432204723358,0.5717198252677917,0.4376867115497589,0.5135135054588318,0.11912225931882858,0.6271781325340271
0.47670748829841614,0.43328747153282166,0.21155138313770294,0.638346254825592,0.4270705580711365,0.5588235259056091,0.11912225931882858,0.6555861830711365
0.4537275433540344,0.4848921000957489,0.22632639110088348,0.6650709509849548,0.43021395802497864,0.5588235259056091,0.11912225931882858,0.6601832509040833
0.4394300878047943,0.5163690447807312,0.23304231464862823,0.6784926056861877,0.432517409324646,0.5454545617103577,0.13166144490242004,0.6701364517211914
0.4205641746520996,0.5189681053161621,0.22968435287475586,0.7060986161231995,0.4190678000450134,0.5555555820465088,0.10971786826848984,0.6822464466094971
0.44181105494499207,0.4647519588470459,0.23908662796020508,0.6776681542396545,0.4187200963497162,0.5221238732337952,0.184952974319458,0.6959054470062256
0.4015287160873413,0.5539972186088562,0.265278697013855,0.73457270860672,0.3969874978065491,0.5698924660682678,0.1661442071199417,0.7434009909629822
0.36538997292518616,0.6133682727813721,0.3143048882484436,0.7857683897018433,0.36999669671058655,0.6600000262260437,0.2068965584039688,0.7809616327285767
0.32144853472709656,0.6814988255500793,0.39086633920669556,0.8428536653518677,0.33480873703956604,0.7234042286872864,0.31974920630455017,0.8250147700309753
0.28559184074401855,0.7275574207305908,0.4680993854999542,0.8818138241767883,0.31600385904312134,0.7919999957084656,0.3103448152542114,0.8526974320411682
0.2589503228664398,0.769833505153656,0.5278710722923279,0.9026640057563782,0.2856808304786682,0.8025477528572083,0.39498433470726013,0.8863303661346436
0.2279643714427948,0.8001800179481506,0.5970450043678284,0.9277476072311401,0.2658867835998535,0.7609755992889404,0.4890282154083252,0.8987566828727722
0.19660621881484985,0.8245033025741577,0.6689053177833557,0.95023113489151,0.24911604821681976,0.8216215968132019,0.47648903727531433,0.9159132242202759
0.17769882082939148,0.8506600856781006,0.6924110054969788,0.9596177339553833,0.231574147939682,0.8127659559249878,0.5987460613250732,0.9225879311561584
0.14712592959403992,0.875,0.7709872126579285,0.9761290550231934,0.22368967533111572,0.8512820601463318,0.5203761458396912,0.9372336268424988
